,Titles,Links,Abstracts
10,SVCCA: Singular Vector Canonical Correlation Analysis for Deep Learning Dynamics and Interpretability,"https://nips.cc/Conferences/2017/Schedule?showEvent=9379
","We propose a new technique, Singular Vector Canonical Correlation Analysis   (SVCCA), a tool for quickly comparing two representations in a way   that is both invariant to affine transform    (allowing comparison   between different layers and networks) and fast to compute (allowing   more comparisons to be calculated than with previous methods).  We   deploy this tool to measure the intrinsic dimensionality of layers,   showing in some cases needless over-parameterization; to probe   learning dynamics throughout training, finding that networks   converge to final representations from the bottom up; to show where   class-specific information in networks is formed; and to suggest new   training regimes that simultaneously save computation and overfit   less."
11,Neural Expectation Maximization,"https://nips.cc/Conferences/2017/Schedule?showEvent=9437
","Many real world tasks such as reasoning and physical interaction require identification and manipulation of conceptual entities. A first step towards solving these tasks is the automated discovery of distributed symbol-like representations. In this paper, we explicitly formalize this problem as inference in a spatial mixture model where each component is parametrized by a neural network.  Based on the Expectation Maximization framework we then derive a differentiable clustering method that simultaneously learns how to group and represent individual entities.  We evaluate our method on the (sequential) perceptual grouping task and find that it is able to accurately recover the constituent objects.  We demonstrate that the learned representations are useful for next-step prediction."
12,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,"https://nips.cc/Conferences/2017/Schedule?showEvent=9286
","Few prior works study deep learning on point sets. PointNet is a pioneer in this direction. However, by design PointNet does not capture local structures induced by the metric space points live in, limiting its ability to recognize fine-grained patterns and generalizability to complex scenes. In this work, we introduce a hierarchical neural network that applies PointNet recursively on a nested partitioning of the input point set. By exploiting metric space distances, our network is able to learn local features with increasing contextual scales. With further observation that point sets are usually sampled with varying densities, which results in greatly decreased performance for networks trained on uniform densities, we propose novel set learning layers to adaptively combine features from multiple scales. Experiments show that our network called PointNet++ is able to learn deep point set features efficiently and robustly. In particular, results significantly better than state-of-the-art have been obtained on challenging benchmarks of 3D point clouds."
13,PRUNE: Preserving Proximity and Global Ranking for Network Embedding,"https://nips.cc/Conferences/2017/Schedule?showEvent=9301
","We investigate an unsupervised generative approach for network embedding. A multi-task Siamese neural network structure is formulated to connect embedding vectors and our objective to preserve the global node ranking and local proximity of nodes. We provide deeper analysis to connect the proposed proximity objective to link prediction and community detection in the network. We show our model can satisfy the following design properties: scalability, asymmetry, unity and simplicity. Experiment results not only verify the above design properties but also demonstrate the superior performance in learning-to-rank, classification, regression, and link prediction tasks."
14,Unsupervised Transformation Learning via Convex Relaxations,"https://nips.cc/Conferences/2017/Schedule?showEvent=9454
","Our goal is to extract meaningful transformations from raw images, such as varying the thickness of lines in handwriting or the lighting in a portrait. We propose an unsupervised approach to learn such transformations by attempting to reconstruct an image from a linear combination of transformations of its nearest neighbors.  On handwritten digits and celebrity portraits, we show that even with linear transformations, our method generates visually high-quality modified images.  Moreover, since our method is semiparametric and does not model the data distribution, the learned transformations extrapolate off the training data and can be applied to new types of images."
15,"Hunt For The Unique, Stable, Sparse And Fast Feature Learning On Graphs","https://nips.cc/Conferences/2017/Schedule?showEvent=8807
","For the purpose of learning on graphs, we hunt for a graph feature representation that exhibit certain uniqueness, stability and sparsity properties while also being amenable to fast computation. This leads to the discovery of family of graph spectral distances (denoted as FGSD) and their based graph feature representations, which we prove to possess most of these desired properties. To both evaluate the quality of graph features produced by FGSD and demonstrate their utility, we apply them to the graph classification problem. Through extensive experiments, we show that a simple SVM based classification algorithm, driven with our powerful FGSD based graph features, significantly outperforms all the more sophisticated state-of-art algorithms on the unlabeled node datasets in terms of both accuracy and speed; it also yields very competitive results on the labeled datasets - despite the fact it does not utilize any node label information."
16,Deep Subspace Clustering Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=8800
","We present a novel deep neural network architecture for unsupervised subspace clustering. This architecture is built upon deep auto-encoders, which non-linearly map the input data into a latent space. Our key idea is to introduce a novel self-expressive layer between the encoder and the decoder to mimic the ""self-expressiveness"" property that has proven effective in traditional subspace clustering. Being differentiable, our new self-expressive layer provides a simple but effective way to learn pairwise affinities between all data points through a standard back-propagation procedure. Being nonlinear, our neural-network based method is able to cluster data points having complex (often nonlinear) structures. We further propose pre-training and fine-tuning strategies that let us effectively learn the parameters of our subspace clustering networks. Our experiments show that the proposed method significantly outperforms the state-of-the-art unsupervised subspace clustering methods."
17,Learning Graph Representations with Embedding Propagation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9288
","We propose EP, Embedding Propagation, an unsupervised learning framework for graph-structured data. EP learns vector representations of graphs by passing two types of messages between neighboring nodes. Forward messages consist of label representations such as representations of words and other attributes associated with the nodes. Backward messages consist of gradients that result from aggregating the label representations and applying a reconstruction loss. Node representations are finally computed from the representation of their labels. With significantly fewer parameters and hyperparameters, an instance of EP is competitive with and often outperforms state of the art unsupervised and semi-supervised learning methods on a range of benchmark data sets."
18,Unsupervised Sequence Classification using Sequential Output Statistics,"https://nips.cc/Conferences/2017/Schedule?showEvent=9138
",
19,Context Selection for Embedding Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9258
",
20,Probabilistic Rule Realization and Selection,"https://nips.cc/Conferences/2017/Schedule?showEvent=8947
",
21,Trimmed Density Ratio Estimation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9229
",
22,A Minimax Optimal Algorithm for Crowdsourcing,"https://nips.cc/Conferences/2017/Schedule?showEvent=9214
",
23,Introspective Classification with Convolutional Nets,"https://nips.cc/Conferences/2017/Schedule?showEvent=8877
",
24,Adaptive Classification for Prediction Under a Budget,"https://nips.cc/Conferences/2017/Schedule?showEvent=9249
",
25,Learning with Feature Evolvable Streams,"https://nips.cc/Conferences/2017/Schedule?showEvent=8933
",
26,Aggressive Sampling for Multi-class to Binary Reduction with Applications to Text Classification,"https://nips.cc/Conferences/2017/Schedule?showEvent=9196
",
27,Adversarial Surrogate Losses for Ordinal Regression,"https://nips.cc/Conferences/2017/Schedule?showEvent=8852
",
28,Formal Guarantees on the Robustness of a Classifier against Adversarial Manipulation,"https://nips.cc/Conferences/2017/Schedule?showEvent=9014
",
29,Cost efficient gradient boosting,"https://nips.cc/Conferences/2017/Schedule?showEvent=8946
",
30,LightGBM: A Highly Efficient Gradient Boosting Decision Tree,"https://nips.cc/Conferences/2017/Schedule?showEvent=9099
",
31,Estimating Accuracy from Unlabeled Data: A Probabilistic Logic Approach,"https://nips.cc/Conferences/2017/Schedule?showEvent=9215
",
32,Inferring Generative Model Structure with Static Analysis,"https://nips.cc/Conferences/2017/Schedule?showEvent=8821
",
33,Scalable Model Selection for Belief Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9238
",
34,"Time-dependent spatially varying graphical models, with application to brain fMRI data analysis","https://nips.cc/Conferences/2017/Schedule?showEvent=9356
",
35,A Bayesian Data Augmentation Approach for Learning Deep Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9065
",
36,Union of Intersections (UoI) for Interpretable Data Driven Discovery and Prediction,"https://nips.cc/Conferences/2017/Schedule?showEvent=8901
",
37,Deep Learning with Topological Signatures,"https://nips.cc/Conferences/2017/Schedule?showEvent=8954
",
38,Practical Hash Functions for Similarity Estimation and Dimensionality Reduction,"https://nips.cc/Conferences/2017/Schedule?showEvent=9430
",
39,Maxing and Ranking with Few Assumptions,"https://nips.cc/Conferences/2017/Schedule?showEvent=9472
",
40,Kernel functions based on triplet comparisons,"https://nips.cc/Conferences/2017/Schedule?showEvent=9448
",
41,Learning A Structured Optimal Bipartite Graph for Co-Clustering,"https://nips.cc/Conferences/2017/Schedule?showEvent=9193
",
42,Multi-way Interacting Regression via Factorization Machines,"https://nips.cc/Conferences/2017/Schedule?showEvent=9046
",
43,Maximum Margin Interval Trees,"https://nips.cc/Conferences/2017/Schedule?showEvent=9271
",
44,Kernel Feature Selection via Conditional Covariance Minimization,"https://nips.cc/Conferences/2017/Schedule?showEvent=9461
",
45,Improved Graph Laplacian via Geometric Self-Consistency,"https://nips.cc/Conferences/2017/Schedule?showEvent=9223
",
46,Mixture-Rank Matrix Approximation for Collaborative Filtering,"https://nips.cc/Conferences/2017/Schedule?showEvent=8844
",
47,Predictive State Recurrent Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9377
",
48,Hierarchical Methods of Moments,"https://nips.cc/Conferences/2017/Schedule?showEvent=8979
",
49,Multitask Spectral Learning of Weighted Automata,"https://nips.cc/Conferences/2017/Schedule?showEvent=9045
",
50,Generative Local Metric Learning for Kernel Regression,"https://nips.cc/Conferences/2017/Schedule?showEvent=9032
",
51,Principles of Riemannian Geometry  in Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9066
",
52,Subset Selection and Summarization in Sequential Data,"https://nips.cc/Conferences/2017/Schedule?showEvent=8897
",
53,On Quadratic Convergence of DC Proximal Newton Algorithm in Nonconvex Sparse Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9060
",
54,"Fast, Sample-Efficient Algorithms for Structured Phase Retrieval","https://nips.cc/Conferences/2017/Schedule?showEvent=9268
",
55,k-Support and Ordered Weighted Sparsity for Overlapping Groups: Hardness and Algorithms,"https://nips.cc/Conferences/2017/Schedule?showEvent=8825
",
56,Parametric Simplex Method for Sparse Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=8816
",
57,Learned D-AMP: Principled Neural Network based Compressive Image Recovery,"https://nips.cc/Conferences/2017/Schedule?showEvent=8967
",
58,FALKON: An Optimal Large Scale Kernel Method,"https://nips.cc/Conferences/2017/Schedule?showEvent=9170
",
59,Recursive Sampling for the Nystrom Method,"https://nips.cc/Conferences/2017/Schedule?showEvent=9165
",
60,Efficient Approximation Algorithms for Strings Kernel Based Sequence Classification,"https://nips.cc/Conferences/2017/Schedule?showEvent=9460
",
61,Robust Hypothesis Test for Nonlinear Effect with Gaussian Processes,"https://nips.cc/Conferences/2017/Schedule?showEvent=8874
",
62,Invariance and Stability of Deep Convolutional Representations,"https://nips.cc/Conferences/2017/Schedule?showEvent=9392
",
63,Testing and Learning on Distributions with Symmetric Noise Invariance,"https://nips.cc/Conferences/2017/Schedule?showEvent=8926
",
64,An Empirical Study on The Properties of Random Bases for Kernel Methods,"https://nips.cc/Conferences/2017/Schedule?showEvent=9062
",
65,Max-Margin Invariant Features from Transformed Unlabelled Data,"https://nips.cc/Conferences/2017/Schedule?showEvent=8935
",
66,SafetyNets: Verifiable Execution of Deep Neural Networks on an Untrusted Cloud,"https://nips.cc/Conferences/2017/Schedule?showEvent=9244
",
67,The Neural Hawkes Process: A Neurally Self-Modulating Multivariate Point Process,"https://nips.cc/Conferences/2017/Schedule?showEvent=9443
",
68,The Importance of Communities for Learning to Influence,"https://nips.cc/Conferences/2017/Schedule?showEvent=9359
",
69,Inductive Representation Learning on Large Graphs,"https://nips.cc/Conferences/2017/Schedule?showEvent=8896
",
70,A Meta-Learning Perspective on Cold-Start Recommendations for Items,"https://nips.cc/Conferences/2017/Schedule?showEvent=9457
",
71,DropoutNet: Addressing Cold Start in Recommender Systems,"https://nips.cc/Conferences/2017/Schedule?showEvent=9272
",
72,Federated Multi-Task Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9220
",
73,Flexpoint: An Adaptive Numerical Format for Efficient Training of Deep Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=8964
",
74,Bayesian Inference of Individualized Treatment Effects using Multi-task Gaussian Processes,"https://nips.cc/Conferences/2017/Schedule?showEvent=9126
",
75,Tomography of the London Underground: a Scalable Model for Origin-Destination Data,"https://nips.cc/Conferences/2017/Schedule?showEvent=9091
",
76,Matching on Balanced Nonlinear Representations for Treatment Effects Estimation,"https://nips.cc/Conferences/2017/Schedule?showEvent=8887
",
77,SchNet: A continuous-filter convolutional neural network for modeling quantum interactions,"https://nips.cc/Conferences/2017/Schedule?showEvent=8893
",
78,Hiding Images in Plain Sight: Deep Steganography,"https://nips.cc/Conferences/2017/Schedule?showEvent=8995
",
79,Universal Style Transfer via Feature Transforms,"https://nips.cc/Conferences/2017/Schedule?showEvent=8835
",
80,Attend and Predict: Understanding Gene Regulation by Selective Attention on Chromatin,"https://nips.cc/Conferences/2017/Schedule?showEvent=9446
",
81,Unbounded cache model for online language modeling with open vocabulary,"https://nips.cc/Conferences/2017/Schedule?showEvent=9376
",
82,Deconvolutional Paragraph Representation Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9197
",
83,Analyzing Hidden Representations in End-to-End Automatic Speech Recognition Systems,"https://nips.cc/Conferences/2017/Schedule?showEvent=9031
",
84,Best of Both Worlds: Transferring Knowledge from Discriminative Learning to a Generative Visual Dialog Model,"https://nips.cc/Conferences/2017/Schedule?showEvent=8828
",
85,Teaching Machines to Describe Images with Natural Language Feedback,"https://nips.cc/Conferences/2017/Schedule?showEvent=9283
",
86,High-Order Attention Models for Visual Question Answering,"https://nips.cc/Conferences/2017/Schedule?showEvent=9149
",
87,Visual Reference Resolution using Attention Memory for Visual Dialog,"https://nips.cc/Conferences/2017/Schedule?showEvent=9154
",
88,Semi-Supervised Learning for Optical Flow with Generative Adversarial Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=8832
",
89,Associative Embedding: End-to-End Learning for Joint Detection and Grouping,"https://nips.cc/Conferences/2017/Schedule?showEvent=9015
",
90,Learning Deep Structured Multi-Scale Features using Attention-Gated CRFs for Contour Prediction,"https://nips.cc/Conferences/2017/Schedule?showEvent=9177
",
91,Incorporating Side Information by Adaptive Convolution,"https://nips.cc/Conferences/2017/Schedule?showEvent=9168
",
92,Learning a Multi-View Stereo Machine,"https://nips.cc/Conferences/2017/Schedule?showEvent=8833
",
93,Pose Guided Person Image Generation,"https://nips.cc/Conferences/2017/Schedule?showEvent=8837
",
94,Working hard to know your neighbor's margins: Local descriptor learning loss,"https://nips.cc/Conferences/2017/Schedule?showEvent=9259
",
95,Toward Multimodal Image-to-Image Translation,"https://nips.cc/Conferences/2017/Schedule?showEvent=8843
",
96,Deep Supervised Discrete Hashing,"https://nips.cc/Conferences/2017/Schedule?showEvent=9035
",
97,SVD-Softmax: Fast Softmax Approximation on Large Vocabulary Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9321
",
98,Hash Embeddings for Efficient Word Representations,"https://nips.cc/Conferences/2017/Schedule?showEvent=9269
",
99,A Regularized Framework for Sparse and Structured Neural Attention,"https://nips.cc/Conferences/2017/Schedule?showEvent=9118
",
100,Attentional Pooling for Action Recognition,"https://nips.cc/Conferences/2017/Schedule?showEvent=8801
",
101,"Plan, Attend, Generate: Planning for Sequence-to-Sequence Models","https://nips.cc/Conferences/2017/Schedule?showEvent=9322
",
102,Dilated Recurrent Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=8806
",
103,Learning Hierarchical Information Flow with Recurrent Neural Modules,"https://nips.cc/Conferences/2017/Schedule?showEvent=9440
",
104,Wasserstein Learning of Deep Generative Point Process Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9109
",
105,Stabilizing Training of Generative Adversarial Networks through Regularization,"https://nips.cc/Conferences/2017/Schedule?showEvent=8990
",
106,Neural Variational Inference and Learning in Undirected Graphical Models,"https://nips.cc/Conferences/2017/Schedule?showEvent=9441
",
107,Adversarial Symmetric Variational Autoencoder,"https://nips.cc/Conferences/2017/Schedule?showEvent=9212
",
108,Diverse and Accurate Image Description Using a Variational Auto-Encoder with an Additive Gaussian Encoding Space,"https://nips.cc/Conferences/2017/Schedule?showEvent=9349
",
109,Z-Forcing: Training Stochastic Recurrent Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9439
",
110,One-Shot Imitation Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=8902
",
111,Reconstruct & Crush Network,"https://nips.cc/Conferences/2017/Schedule?showEvent=9232
",
112,Fader Networks:Manipulating Images by Sliding Attributes,"https://nips.cc/Conferences/2017/Schedule?showEvent=9369
",
113,PredRNN: Recurrent Neural Networks for Predictive Learning using Spatiotemporal LSTMs,"https://nips.cc/Conferences/2017/Schedule?showEvent=8882
",
114,VAIN: Attentional Multi-agent Predictive Modeling,"https://nips.cc/Conferences/2017/Schedule?showEvent=9056
",
115,Real Time Image Saliency for Black Box Classifiers,"https://nips.cc/Conferences/2017/Schedule?showEvent=9463
",
116,Prototypical Networks for Few-shot Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9188
",
117,Few-Shot Learning Through an Information Retrieval  Lens,"https://nips.cc/Conferences/2017/Schedule?showEvent=9013
",
118,The Reversible Residual Network: Backpropagation Without Storing Activations,"https://nips.cc/Conferences/2017/Schedule?showEvent=9009
",
119,Gated Recurrent Convolution Neural Network for OCR,"https://nips.cc/Conferences/2017/Schedule?showEvent=8830
",
120,Learning Efficient Object Detection Models with Knowledge Distillation,"https://nips.cc/Conferences/2017/Schedule?showEvent=8869
",
121,"Decoupling ""when to update"" from ""how to update""","https://nips.cc/Conferences/2017/Schedule?showEvent=8890
",
122,Langevin Dynamics with Continuous Tempering for Training Deep Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=8857
",
123,Differentiable Learning of Logical Rules for Knowledge Base Reasoning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9019
",
124,Deliberation Networks: Sequence Generation Beyond One-Pass Decoding,"https://nips.cc/Conferences/2017/Schedule?showEvent=8968
",
125,Neural Program Meta-Induction,"https://nips.cc/Conferences/2017/Schedule?showEvent=8996
",
126,Saliency-based Sequential Image Attention with Multiset Prediction,"https://nips.cc/Conferences/2017/Schedule?showEvent=9293
",
127,Protein Interface Prediction using Graph Convolutional Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9422
",
128,Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis,"https://nips.cc/Conferences/2017/Schedule?showEvent=8805
",
129,Toward Robustness against Label Noise in Training Deep Discriminative Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9334
",
130,Soft-to-Hard Vector Quantization for End-to-End Learning Compressible Representations,"https://nips.cc/Conferences/2017/Schedule?showEvent=8907
",
131,Selective Classification for Deep Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9264
",
132,Deep Lattice Networks and Partial Monotonic Functions,"https://nips.cc/Conferences/2017/Schedule?showEvent=9083
",
133,Learning to Prune Deep Neural Networks via Layer-wise Optimal Brain Surgeon,"https://nips.cc/Conferences/2017/Schedule?showEvent=9262
",
134,Bayesian Compression for Deep Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9113
",
135,Lower bounds on the robustness to adversarial perturbations,"https://nips.cc/Conferences/2017/Schedule?showEvent=8875
",
136,Sobolev Training for Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9207
",
137,Structured Bayesian Pruning via Log-Normal Multiplicative Noise,"https://nips.cc/Conferences/2017/Schedule?showEvent=9445
",
138,Population Matching Discrepancy and Applications in Deep Learning,"https://nips.cc/Conferences/2017/Schedule?showEvent=9397
",
139,Resurrecting the sigmoid in deep learning through dynamical isometry: theory and practice,"https://nips.cc/Conferences/2017/Schedule?showEvent=9255
",
140,Robust Imitation of Diverse Behaviors,"https://nips.cc/Conferences/2017/Schedule?showEvent=9307
",
141,Question Asking as Program Generation,"https://nips.cc/Conferences/2017/Schedule?showEvent=8898
",
142,Variational Laws of Visual Attention for Dynamic Scenes,"https://nips.cc/Conferences/2017/Schedule?showEvent=9164
",
143,Flexible statistical inference for mechanistic models of neural dynamics,"https://nips.cc/Conferences/2017/Schedule?showEvent=8921
",
144,Training recurrent networks to generate hypotheses about how the brain solves hard navigation problems,"https://nips.cc/Conferences/2017/Schedule?showEvent=9230
",
145,YASS: Yet Another Spike Sorter,"https://nips.cc/Conferences/2017/Schedule?showEvent=9181
",
146,Neural system identification for large populations separating “what” and “where”,"https://nips.cc/Conferences/2017/Schedule?showEvent=9134
",
147,A simple model of recognition and recall memory,"https://nips.cc/Conferences/2017/Schedule?showEvent=8826
",
148,Gaussian process based nonlinear latent structure discovery in multivariate spike train data,"https://nips.cc/Conferences/2017/Schedule?showEvent=9133
",
149,Reconstructing perceived faces from brain activations with deep adversarial neural decoding,"https://nips.cc/Conferences/2017/Schedule?showEvent=9204
",
150,Cross-Spectral Factor Analysis,"https://nips.cc/Conferences/2017/Schedule?showEvent=9451
",
151,Regularized Modal Regression with Applications in Cognitive Impairment Prediction,"https://nips.cc/Conferences/2017/Schedule?showEvent=8936
",
152,Stochastic Submodular Maximization: The Case of Coverage Functions,"https://nips.cc/Conferences/2017/Schedule?showEvent=9452
",
153,Gradient Methods for Submodular Maximization,"https://nips.cc/Conferences/2017/Schedule?showEvent=9357
",
154,Non-convex Finite-Sum Optimization Via SCSG Methods,"https://nips.cc/Conferences/2017/Schedule?showEvent=9022
",
155,Influence Maximization with $\varepsilon$-Almost Submodular Threshold Functions,"https://nips.cc/Conferences/2017/Schedule?showEvent=9162
",
156,Subset Selection under Noise,"https://nips.cc/Conferences/2017/Schedule?showEvent=9139
",
157,Polynomial time algorithms for dual volume sampling,"https://nips.cc/Conferences/2017/Schedule?showEvent=9280
",
158,Lookahead  Bayesian Optimization with Inequality Constraints,"https://nips.cc/Conferences/2017/Schedule?showEvent=8978
",
159,Non-monotone Continuous DR-submodular  Maximization: Structure and Algorithms,"https://nips.cc/Conferences/2017/Schedule?showEvent=8845
",
160,Solving Most Systems of Random Quadratic Equations,"https://nips.cc/Conferences/2017/Schedule?showEvent=8976
",
161,Learning ReLUs via Gradient Descent,"https://nips.cc/Conferences/2017/Schedule?showEvent=8989
",
162,Stochastic Mirror Descent in Variationally Coherent Optimization Problems,"https://nips.cc/Conferences/2017/Schedule?showEvent=9470
",
163,Accelerated First-order Methods for Geodesically Convex Optimization on Riemannian Manifolds,"https://nips.cc/Conferences/2017/Schedule?showEvent=9263
",
164,On the Fine-Grained Complexity of Empirical Risk Minimization: Kernel Methods and Neural Networks,"https://nips.cc/Conferences/2017/Schedule?showEvent=9210
",
